street,state,city,postcode,safety_flag
50 Oak Dr,NY,Hopewell Junction,12533,TRUE
53 Flint St,MA,Somerville,02145-4123,FALSE
113 Parker St,MA,Maynard,01754-2119,FALSE
111 kingsway,TX,Del rio,78840,FALSE
710 Ashton,TX,Cactus,79013,TRUE
11081 Fuchsia ct,CA,Adelanto,92301,FALSE
6290 NW 173rd St,FL,Hialeah,33015-4567,FALSE
3404 97th St,TX,Lubbock,79423-3843,FALSE
308 N Margaret St,DE,Georgetown,19947-2316,FALSE
17474 Ehle St,CA,Castro Valley,94546-3824,FALSE
1501 NW 56th St,WA,Seattle,98107,FALSE
1804 Uruapan Plz,TX,Dallas,75211,FALSE
3301 Hudnall St Apt 3301,TX,Dallas,75235,FALSE
11705 Sycamore Dr,MI,Plymouth,48170,FALSE
12420 County Road 150,MN,Kimball,55353-2739,TRUE
17517 Merlin Drive,IN,Lowell,46356,FALSE
6222 Ladera Dr,TX,Houston,77083-1423,TRUE
14168 85th Rd Apt 6B,NY,Briarwood,11435-2590,FALSE
23509 NELSON AVE,FL,PORT CHARLOTTE,33954,FALSE
131 Washington Street,RI,Providence,2903,FALSE
1202 W Washington St,IL,Champaign,61821-2625,FALSE
4040 Mendon Rd,RI,Cumberland,02864-1814,FALSE
780 Beechwood Dr,CA,Daly City,94015-3704,FALSE
150 Dominion Park Dr Apt 908,TX,Houston,77090-6739,FALSE
8840 Hickory Dr,IL,Orland Hills,60487-7215,FALSE
39 Dongan St,NY,Staten Island,10310-1219,FALSE
1570 Alderwood Street,OR,Eugene,97404,FALSE
397 Berkeley Ave,NJ,Bloomfield,07003-5001,FALSE
3762 Highway 101,AR,Gamaliel,72537-9513,FALSE
1145 Wainiha St,HI,Honolulu,96825-2652,FALSE
9611 Keystone Trl,CO,Parker,80134-3357,FALSE
10 Bergen Ct,NJ,Bayonne,07002-2125,FALSE
3812 Cedar Spring Dr,TX,Midland,79703-6416,FALSE
24 Oriole Ln,IL,Glendale Heights,60139,FALSE
55 Forestdale Dr,MA,Somerset,02726-4718,FALSE
48 Crossland Trail,PA,Fairfield,17320,FALSE
2064 S Elms Rd,MI,Swartz Creek,48473-9728,FALSE
315 Saint Andrews Lane,SC,Myrtle Beach,29588,FALSE
12802 Rockford Dr,TX,Houston,77048-4162,FALSE
10397 Golden Ridge Dr,OH,Wadsworth,44281-8648,FALSE
1332 Grey Oak Dr,TX,San Antonio,78213,FALSE
8279 Tapia Via Dr,CA,Rancho Cucamonga,91730-3132,FALSE
733 Shelby Dr,MD,Oxon Hill,20745-1114,FALSE
2125 Wentworth Ave,IL,Rockford,61108-8023,FALSE
11727 47th Ave NE Unit A,WA,Marysville,98271-8374,FALSE
37541 N. North Ave.,IL,Beach Park,60087,FALSE
15 Shore Road,CT,Old Greenwich,6870,FALSE
600 E 137th St,NY,Bronx,10454-3118,FALSE
4343 E Princeton Ave,AZ,Gilbert,85234-7627,FALSE
2425 Channing Way,CA,Berkeley,94704-2260,FALSE
79 East Seacrest Avenue,NY,Lindenhurst,11757,FALSE
250 S Whiting St,VA,Alexandria,22304,FALSE
5296 Highway 507,LA,Coushatta,71019,TRUE
154 Mechanic St,CT,Danielson,06239-1918,FALSE
24312 Via Las Junitas,CA,Murrieta,92562,FALSE
10743 Gail Pl,TX,Socorro,79927-3819,FALSE
1886 Otis St,LA,Harvey,70058-4915,FALSE
1985 Lee rd 137 Apt A,AL,Auburn,36832,FALSE
2149 Woodbury Hwy,TN,Manchester,37355-3525,FALSE
2916 Sandy Grove Ct,VA,Richmond,23223-1500,FALSE
655 Barrie Ln,AL,Berry,35546-2449,FALSE
2004 Thornhill Dr,OH,Akron,44313-5314,FALSE
2534 Greenstone Ct,CA,San Jose,95122-1153,FALSE
180 Kennedy Dr. Apt 511,MA,Malden,2148,FALSE
7736 Maple Ave,MD,Takoma Park,20912,FALSE
3202 Gary Ln,TX,Spring,77380-1208,FALSE
3707 Shadow Wick Ln,TX,Houston,77082-5659,FALSE
710 Burnt Mills Ave,MD,Silver Spring,20901-1443,FALSE
354 Magnolia Dr,NY,Selden,11784-1323,FALSE
415 Ferrell Ave,NC,Charlotte,28216-3186,TRUE
11 Sara Ct.,WY,Laramie,82070,FALSE
447 Little Sorrel Dr,VA,Strasburg,22657-3610,FALSE
16739 W Yavapai St,AZ,Goodyear,85338-7343,FALSE
506 Harrison Rd,AL,Prattville,36067-4443,FALSE
114 S Imperial Dr,TX,Denison,75020-3535,FALSE
20331 gentle way,MD,montgomery village,20886,FALSE
8252 Woodland Shore Drive,MI,Brighton,48114,FALSE
203 Carlisle Rd,KY,Hartford,42347-1841,FALSE
2443 Folsom Street,GA,Snellville,30078,FALSE
1702 Lancaster Creek Cir SW,GA,Conyers,30094-5817,FALSE
126 Sylvan Drive,PA,Broomall,19008,FALSE
1006 grey fox cir,TX,brownsville,78520,FALSE
811 Downing Way,CO,Denver,80229-5918,FALSE
1062 Calm Breeze,TX,New Braunfels,78130-4451,FALSE
433 Jefferson Dr,VA,Palmyra,22963-2808,FALSE
5306 Fairtide Drive,TX,Baytown,77521,FALSE
4320 Gannet Cir apt 113,NV,Las Vegas,89103,TRUE
7131 N Riverside Dr,IL,Niles,60714,FALSE
34 Prospect Rd,PA,Sugarloaf,18249-3623,FALSE
1007 W Deer Creek Dr,IN,Brazil,47834-7919,FALSE
19811 Arbor Creek Dr,TX,Katy,77449-6168,FALSE
14903 Bridal Trail Circle,CA,Eastvale,92880,FALSE
1713 Canard Ave,CA,Placentia,92870-2410,TRUE
18361 W Woodland Ter,IL,Gurnee,60031-1532,FALSE
74741 E Rd,NE,Overton,68863-5805,FALSE
7809 Commercial St,IL,Harvard,60033,FALSE
2026 Bedford Dr,MD,Jb Andrews,20762-5496,FALSE
52 riverdale ave,NY,Port Chester,10573,TRUE
23734 Morning Glory Dr,CA,Murrieta,92562-6052,TRUE
956 Drayson Dr,OH,Galloway,43119,FALSE
2825 Ellis Ave,TX,Fort Worth,76106-7105,FALSE
930 Autumn Lane,IL,Aurora,60505,FALSE
23 Stanley Rd.,NY,Garnerville,10923,FALSE
15884 Grevillea St,CA,Fontana,92335-5416,FALSE
96 S Washington St,MI,Oxford,48371-4974,FALSE
4451 N Kilbourn Ave,IL,Chicago,60630,FALSE
4108 Olivia Dr,LA,Addis,70710-3043,FALSE
203 Grantham Dr,TX,San Antonio,78218-4223,FALSE
1155 Ravenna Ave,CA,Wilmington,90744-3165,FALSE
6800 Wyndham Dr Apt T1,CA,Sacramento,95823-4920,FALSE
515 W Duarte Rd,CA,Arcadia,91007-7326,FALSE
2944 Beach Channel Drive,NY,Far Rockaway,11691,FALSE
6101 Gateway West Blvd Apt 207,TX,El Paso,79925,FALSE
2506 Stonebury Ln,TX,Sugar Land,77479-5488,FALSE
1054 Hodges Way,GA,Stone Mountain,30087-2960,FALSE
585 Eder ave,NJ,Wyckoff,7481,FALSE
117 McConnell Dr,IN,New Albany,47150-2000,FALSE
4501 Weathersfield Ct.,TX,League City,77573,FALSE
10424 Siltstone Way,CA,Elk Grove,95757-1669,FALSE
85-18 125th Street,NY,Kew Gardens,11415,FALSE
1435 N pearl St,CO,Denver,80203,FALSE
62 Stephen Place,NY,Valley Stream,11580,FALSE
405 S Conejo Ave,CA,Modesto,95354-3837,FALSE
3960 SWEEPSTAKES DR,CA,RIVERBANK,95367,FALSE
1158 Teal point dr.,NV,Henderson,89074,FALSE
950 39th Ave N,FL,Saint Petersburg,33703-4520,FALSE
60 Windy Acres Rd,NH,Charlestown,03603-4226,FALSE
3725 Sandy Ridge Farm Rd,NC,La Grange,28551-6708,FALSE
401 bridger view,MT,Belgrade,59715,FALSE
1821 County Road 474,TX,Kirbyville,75956-4245,FALSE
11901 NW 42nd ST,FL,Sunrise,33323,FALSE
1800 Pecan Lake Dr,TX,Richmond,77406-9673,FALSE
374 India Drive,DE,Smyrna,19977,FALSE
543 Picketts Bend Cir,GA,Marietta,30008-3269,FALSE
1809 Colonial Ave,NC,Greensboro,27408,FALSE
642 Vardon Ave,FL,Deltona,32738-9092,FALSE
10848 Orchard Ave SE,WA,Olalla,98359,FALSE
127 Plumdale Dr,AR,Sherwood,72120-3265,FALSE
2206 Chaney Dr. #240,FL,Ruskin,33570,FALSE
192 Thousand Trails Dr,NC,Advance,27006-7082,TRUE
253 Oelkers St,NY,N Tonawanda,14120,FALSE
1026 Polk St,MS,Vicksburg,39180-5020,FALSE
125 Shady Glen Ln,GA,Albany,31721-9538,FALSE
1450 Market Street,CA,San Diego,92101,FALSE
11731 Ventura Blvd,IL,Machesney Park,61115-1072,FALSE
23315 S Breeze St,TX,San Antonio,78258-7313,FALSE
19 Doctors Lane,SC,St. Helena Island,29920,FALSE
"1562 E OLIVE WAY, APT 108",WA,Seattle,98102,FALSE
8059 88th Rd,NY,Woodhaven,11421-2423,FALSE
624 Salem Way,CA,Stockton,95207-7714,FALSE
168 Belle Isle Drive,LA,Thibodaux,70301,FALSE
1147 Pine Portage Loop,TX,Leander,78641-2022,FALSE
1803 Plata Ct,FL,Rockledge,32955,FALSE
1425 N Rosemore Ave,CA,Modesto,95358-1344,FALSE
3171 Clairemont Dr,CA,SAN DIEGO,92117,FALSE
12277 Kirkwood St,CA,Herald,95638-9765,FALSE
1111 S Oakwood Rd,OK,Enid,73703-6273,FALSE
3204 Sylvan Drive,PA,Thorndale,19372,FALSE
478 Whitmore Town Rd,VA,Crewe,23930-3728,FALSE
221 West Burnett Road,IL,Island Lake,60042,FALSE
"167 East Broadway, Apt 12",NY,New York City,10002,FALSE
1099 Nowita Pl,CA,Venice,90291-3518,FALSE
3 Twilight Ln,CO,Pueblo,81005-1031,TRUE
9696 Philta Way,CA,Elk Grove,95757-6202,FALSE
219 Live Oak Drive,TX,Hudson Oaks,76087,FALSE
5900 Chimney Wood Cir,TX,Fort Worth,76112-3031,FALSE
850 Crawford pkwy apt 4214,VA,Portsmouth,23704,FALSE
12201 Boessow Rd,CA,Galt,95632-8330,FALSE
1707 Towle St,NE,Falls City,68355-1952,FALSE
401 N Cromwell Rd,GA,Savannah,31410-3847,FALSE
3728 Mays Xing SW,GA,Atlanta,30331-2058,FALSE
600 SW 71st Way,FL,Pembroke Pines,33023-1065,FALSE
4234 Arizona Ave,NE,Grand Island,68803,FALSE
2350 Reagan Ave.,WY,Rock Springs,82901,FALSE
740 Persimmon Hl,TX,Bulverde,78163,FALSE
100 Sterling Blvd,NJ,Englewood,07631-4813,FALSE
1129 Sandpit Road,GA,Mauk,31058,FALSE
1227D Northpoint Dr,CA,San Francisco,94130-1103,TRUE
3801 NE 81st Ave.,OR,Portland,97213,FALSE
4124 SW Tunnelwood St,OR,Portland,97221-3745,FALSE
5006 Cedar Springs Rd,TX,Dallas,75235-8790,FALSE
20624 Eyota Rd,CA,Apple Valley,92308-6338,FALSE
2999 Smith Springs Rd,TN,Nashville,37217-4409,FALSE
228 E Buena Vista St,MI,Highland Park,48203-3348,TRUE
2621 Cranley St,KS,Lawrence,66046-5307,FALSE
2254 CEDAR AVE APT E,NY,BRONX,10468,FALSE
212 W Corcoran st,MT,Lewistown,59457,FALSE
9006 Aylesford ln,CA,Stockton,95210,FALSE
2709 E Shorewood Blvd,WI,Milwaukee,53211-2459,FALSE
1065 Coriander Dr,CA,Brentwood,94513,FALSE
4764 W Tufts Cir,CO,Denver,80236-3388,FALSE
6203 summerhill road,MD,temple hills,20748,FALSE
609 6th st N,FL,St PETERSBURG,33701,FALSE
2038 Marvin Rd SE,WA,Olympia,98503,FALSE
415 Tyler Pl,CA,Salinas,93906-3676,FALSE
1413 South Hennepin Street,IA,Sioux City,51106,FALSE
368 Via Aloe Vera,AZ,Rio Rico,85648-2961,FALSE
13650 East Colfax Avenue,CO,Aurora,80011,FALSE
107 Tunxis Ave,CT,Bloomfield,06002-2005,FALSE
5510 Robinwood rd,KY,Louisville,40218,FALSE
954 Waverly Dr,FL,Longwood,32750,FALSE
81 Center St,CA,Chula Vista,91910-3154,FALSE
8528 Brisenbourg Way,CA,Antelope,95843,FALSE
12854 Fantasia Dr,VA,Herndon,20170-2945,FALSE
5412 Baseline Place,MO,Columbia,65203,FALSE
810 S Pleasant St,IL,Peoria,61604-5975,FALSE
3100 Owyhee Street,ID,Pocatello,83201,FALSE
1104 W College St,MO,Independence,64050-2408,FALSE
3916 Twin Falls St,TX,Irving,75062-2907,FALSE
4477 NW 185th St,FL,Miami Gardens,33055-3080,FALSE
12 Cypress Ave,MA,Methuen,01844-4840,FALSE
2111 Alcazar Way,CA,Stockton,95209-2405,FALSE
3400 Paul Ave,NY,Bronx,10468-1015,FALSE
1132 S 60th St,WA,Tacoma,98408-3435,FALSE
1043 Normandy Ter,CA,Corona,92880-1319,FALSE
577 FDR Drive,NY,New York,10002,FALSE
1345 South Capitol Street Southwest,DC,Washington,20003,FALSE
8760 Center PKWY,CA,Elk Grove,95758,FALSE
5810 30th Ave,MD,Hyattsville,20782-3103,FALSE
2418 N 1050 W,UT,Clinton,84015,FALSE
9418 Spotsylvania Street,VA,Manassas,20110,FALSE
433 E 54th St,IN,Anderson,46013-1739,FALSE
5972 E Juarez St,AZ,Tucson,85711-6035,FALSE
143 Farmedge Rd,NY,Levittown,11756,FALSE
356 Montgomery Rd,TN,Lancing,37770-3204,FALSE
1333 W Guadalupe Rd.,AZ,Gilbert,85233,FALSE
437 Hampton Green Dr,GA,Lagrange,30240-7736,FALSE
24973 Highway 35,MS,Vaiden,39176-9553,FALSE
1754 Linda Lakes Ln.,FL,Middleburg,32068,FALSE
11211 Crossland Drive,TX,Austin,78726,FALSE
31426 Lee Rd,MO,Sedalia,65301-1712,FALSE
3530 N Southport Ave,IL,chicago,60657,FALSE
110 KINGSDOWN AVE,NC,CHARLOTTE,28270,FALSE
3850 W 64th Place,IL,Chicago,60629,FALSE
303 Emma dr,AR,Brookland,72417,FALSE
342 Helena Way,CA,Madera,93637-5712,FALSE
40 Roy St,MA,Swampscott,01907-6005,FALSE
33300 Mission Blvd,CA,Union City,94587-1444,FALSE
1838 22nd St,CA,Santa Monica,90404-3928,FALSE
5111 W School St,IL,Chicago,60641-4229,FALSE
108 E Clarke Pl Apt 47A,NY,Bronx,10452-7623,FALSE
6105 39th Pl,MD,Hyattsville,20782-3009,FALSE
169 Railroad Ave,RI,Harrisville,02830-1304,FALSE
1020 Comstock DR,NC,Charlotte,28217,FALSE
13930 Chadron Ave,CA,Hawthorne,90250-8285,FALSE
5012 Byers Ave,TX,Fort Worth,76107-3626,FALSE
2520 Greywall Ave,FL,Ocoee,34761-8932,FALSE
1519 E Calle Salamanca,AZ,Tucson,85714-3117,FALSE
2583 Edmond Cir,FL,Auburndale,33823-4804,FALSE
380 E 143rd St,NY,Bronx,10454-1234,FALSE
269 Old Stagecoach Rd,CT,Meriden,06450-6651,FALSE
10818 Huffmeister Road,TX,Houston,77065,FALSE
94 Valley Stream Park,PA,Mountain Top,18707-9048,FALSE
524 Commerce St,AL,Jackson,36545,FALSE
1646 1st Ave,NY,New York,10028-4632,FALSE
19962 SW 96th Pl,FL,Dunnellon,34432-4112,FALSE
3836 Carisbrook Ave,NV,North Las Vegas,89081,FALSE
281 County Highway 32A,NY,Cherry Valley,13320,FALSE
15 Hall Ave,RI,Warren,2885,FALSE
1002 Calle Frondosa,CA,San Dimas,91773,FALSE
4205 cunningham dr,OK,Okc,73170,TRUE
4223 East 10th Street,CA,Long Beach,90804,FALSE
715 Clinton River Dr,MI,Mount Clemens,48043-2489,FALSE
7507Abingdon Abingdon Way Court,MO,St. Louis,63129,FALSE
1724 Hunters Trl,SC,Rock Hill,29732-1759,FALSE
201 Andrew Road,PA,Coatesville,19320,FALSE
1820 Rudolph Ln,MD,Lusby,20657-4040,FALSE
455 Sunnehanna Drive #544,SC,Myrtle Beach,29588,FALSE
31 Nambe West,NM,Santa Fe,87508,FALSE
2426 Tullibee Drive,VA,Norfolk,23518,FALSE
336 Benge Dr,NC,Elkin,28621,FALSE
9404 Royalton Dr,LA,Shreveport,71118-3613,FALSE
347 W Chestnut St,IL,Chicago,60610,FALSE
1707 Sacramento St,CA,Berkeley,94702-1501,FALSE
410 E Locust St,PA,Fleetwood,19522-1609,FALSE
4910 Kraus Road,NY,Clarence,14031,FALSE
513 Old Lincoln Rd,TN,Fayetteville,37334-6833,FALSE
2607 Garner Rd SW,NM,Albuquerque,87105-6780,FALSE
633 Water Street,MD,Friendsville,21531,FALSE
349 N Main St,NJ,Milltown,08850-1441,FALSE
35 Wood St,CA,San Francisco,94118,FALSE
3054 Villanelle Ave,NV,Henderson,89044,FALSE
9603 East Avenue R 14,CA,Littlerock,93543,FALSE
2514 Shepherd Valley Street,NC,Raleigh,27610,FALSE
851 E 215th St,NY,Bronx,10467-5812,FALSE
1 Acre Dr,CT,Danbury,6811,FALSE
4437 Central Lane,TX,Balch Springs,75180,FALSE
13100 Norris Ave,CA,Sylmar,91342,FALSE
5624 S Menard Ave,IL,Chicago,60638-3730,FALSE
1633 Salerno Cir,FL,Weston,33327-1901,FALSE
3100 South Cherokee Street,CO,Englewood,80110,FALSE
6633 Laxey Ct,FL,Zephyrhills,33541-2853,FALSE
12202 Lotus Vine Street,CA,Bakersfield,93311,TRUE
7328 Ambleside Dr,FL,Land o Lakes,34637-7566,FALSE
7 Taunton St,MA,Plainville,02762-2173,FALSE
7626 Marsh Ave,CA,Rosemead,91770-3424,FALSE
2702 Sligo Ln,MI,Brighton,48114-8133,FALSE
107 North Chinook Street,WA,Moxee,98936,FALSE
609 fairhaven Way,CA,Novato,94947,FALSE
577 E Park Ave,AZ,Gilbert,85234-5893,FALSE
1559 N 1st Ave,CA,Upland,91786-2308,FALSE
5375 Shattuck Ave,CA,Fremont,94555,FALSE
47995 Candace Ln,MI,Canton,48187,FALSE
14419 Brunswick Point Lane,TX,Houston,77047,FALSE
15731 Bernardo Heights Parkway,CA,San Diego,92128,FALSE
903 Loganwood Avenue,TX,Richardson,75080,FALSE
23 Mayfair Dr,SC,Bluffton,29910,FALSE
210 Oakwood Street SE Apt. 302,DC,Washington,20032,FALSE
1354 Sweetbriar Lane,MD,Bel Air,21014,FALSE
200 3rd Street,PA,Shoemakersville,19555,FALSE
692 Milford Point Road,CT,Milford,6460,FALSE
2928 SE 2nd St,FL,Homestead,33033-7318,FALSE
17 West 108st,NY,New York,10025,FALSE
8820 NW 78th Ct,FL,Tamarac,33321-1463,FALSE
1003 N Sandalwood Ave,CA,Rialto,92376-3899,FALSE
709 Marsha Ln,IL,Rock Falls,61071-1861,FALSE
4204 US Highway 80 E,TX,Mesquite,75149,FALSE
512 W Riverside Dr,AZ,Parker,85344,FALSE
1261 Southwick Ln,CA,Lincoln,95648-8028,FALSE
4607 N Monticello Ave,IL,Chicago,60625-6405,FALSE
40131 Holland Rd,LA,Ponchatoula,70454-6719,FALSE
111 W Polk St Apt 510,IL,Chicago,60605-2090,FALSE
111 Stroud St,NY,Canastota,13032-1423,FALSE
6827 Hwy 6,LA,Natchitoches,71457,FALSE
15262 Hoyle Rd,OH,Berlin Center,44401-9785,FALSE
357 Meadowsedge Dr,IL,Woodstock,60098-3665,FALSE
101 Aberdeen Circle,GA,Cordele,31015,FALSE
3868 Boot Bay Rd,FL,Plant City,33563-1334,FALSE
7073 Bramblebush Dr,TX,Frisco,75033-3838,FALSE
29 Meadow Lane,MA,Westford,1886,FALSE
2214 E 113th Ave,FL,Tampa,33612-6249,FALSE
10762 Kingsfield Ln,MN,Saint Paul,55129-8349,FALSE
473 W 21st St,NY,New York,10011-2943,FALSE
24310 2nd Place West,WA,Bothell,98021,FALSE
2313 Transcontinental Dr,LA,Metairie,70001-1024,FALSE
850 E Old Willow Rd,IL,Prospect Heights,60070-2118,FALSE
23-88 28th Street,NY,Queens,11105,FALSE
2504 Skagway Dr,OH,Northwood,43619-2020,FALSE
66 Grant St,MA,West Bridgewater,02379-1218,FALSE
687 Franklin Ave,IA,Council Bluffs,51503-4912,FALSE
5847 Morningside Ave,TX,Dallas,75206-5919,TRUE
107 Chapel Street,NY,Mount Morris,14510,FALSE
101 Saint George blvd,GA,Savannah,31419,FALSE
4439 Third Ave,NY,Bronx,10457,FALSE
20 THACKERY PL Apt. 4,GA,Savannah,31405,FALSE
9007 18th Avenue Southwest,WA,Seattle,98106,FALSE
112 S 16th st,PA,Camp Hill,17011,FALSE
9025 Ochoa St,NV,Las Vegas,89143-5452,FALSE
102 Parkway Lane,NC,Havelock,28532,FALSE
2777 S. Arizona Ave #1005,AZ,CHANDLER,85286,FALSE
239 Friedrichs Rd,LA,Gretna,70056-3883,TRUE
2869 N Arrowhead Ave,CA,San Bernardino,92405-3407,FALSE
203 Sherwood Ave,MD,Pikesville,21208,FALSE
1300 Golf Course Rd,TN,Newport,37821-7111,FALSE
19 mockingbird lane,AR,vilonia,72173,FALSE
227 North St,KS,Carbondale,66414,FALSE
416 Lake Ridge Dr,IN,Henryville,47126-8692,FALSE
1330 Waverland Dr,GA,Macon,31211-1324,FALSE
6404 Candletree Lane,TX,McKinney,75070,FALSE
1420 Peachtree Drive,OH,Ashland,44805,FALSE
1420 Riverside Dr,VA,Virginia Beach,23453-1707,FALSE
6 Olivia`s Court,PA,Frackville,17931,FALSE
1771 Virginia St,TX,Shepherd,77371-2857,FALSE
13734 Fordham Ave,MN,Saint Paul,55124-5605,FALSE
4913 Olivia Lane,TX,Wichita Falls,76310,FALSE
80 S Loveland Ave,PA,Kingston,18704-4545,FALSE
190 vanover Rd w,KY,London,40744,FALSE
10895 Touchstone Loop,CO,Parker,80134,FALSE
530 Tulane Dr Apt 18,ND,Grand Forks,58203-2792,FALSE
805 Orange Heights Dr,TX,Harlingen,78550-4118,FALSE
314 Clayton Road,NJ,WILLIAMSTOWN,8094,TRUE
1729 Old Wood Rd,IL,Rockford,61107,FALSE
761 Taylor st,IL,Morton,61550,FALSE
2530 Citrus Tower Blvd,FL,Clermont,34711-6926,FALSE
10025 Waterstone Way,TX,McKinney,75072,FALSE
176 Commonwealth Ave,NY,Buffalo,14216-2308,FALSE
3209 Roberta St,LA,Metairie,70003-1751,FALSE
8764 125th St,NY,Richmond Hill,11418-2707,FALSE
2525 Las Flores St,CA,Alhambra,91803-4305,FALSE
3231 Lilly Ave,CA,Long Beach,90808-3245,FALSE
20543 Wyandotte,CA,Winnetka,91306,FALSE
20102 Lower Crab Creek Rd SW,WA,Beverly,99321-0300,FALSE
7114 Robin Meadow St,TX,Pearland,77581-8259,FALSE
180 Chestnut Flat Rd,PA,Shelocta,15774-7251,FALSE
6978 N Braeburn Ln,WI,Milwaukee,53209-2608,FALSE
18 Adams Lane,RI,Smithfield,2917,FALSE
1742 E 122nd St,CA,Los Angeles,90059-3030,FALSE
15045 Jenkins Hill Lane,VA,Culpeper,22701,FALSE
23416 Petroleum Ave,CA,Torrance,90502,FALSE
1456 E Philadelphia St,CA,Ontario,91761-5726,FALSE
6127 167th St,NY,Fresh Meadows,11365-1935,FALSE
5036 Los Feliz Blvd,CA,Los Angeles,90027-1741,TRUE
164 Bonita St,FL,Titusville,32780-8126,FALSE
9100 ANDREWS hwy,TX,Odessa,79765,FALSE
1750 Hancock Ave,PA,Apollo,15613-8401,FALSE
5780 Friars Road,CA,San Diego,92110,FALSE
18211 Bulverde Road,TX,San Antonio,78259,FALSE
17112 Harris Rd,OH,Defiance,43512,FALSE
1718 Hickory Hill Dr,MN,Eagan,55122-2410,FALSE
1388 River Bank Dr,TN,Collierville,38017,FALSE
509 Hagey Place,PA,Collegeville,19426,FALSE
2443 Sierra Nevada Rd. #L2,CA,Mammoth Lakes,93546,FALSE
5640 N Danube Road,MN,Fridley,55432,FALSE
5542 Kingsport Dr,GA,Atlanta,30342-1042,FALSE
2108 Nunley Dr,TN,Rockvale,37153,FALSE
1809 Swan Falls Lane,CA,Roseville,95661,FALSE
"233 Fielding St, Apt B",MI,Ferndale,48220,FALSE
1614 14th Ave S,MN,Saint Cloud,56301-5606,FALSE
110 Prospect Dr,IA,Ackley,50601-1813,FALSE
1404 Evaline Drive,OH,Columbus,43224,FALSE
1 Broadway,NY,Island Park,11558-1201,FALSE
"301 G Street, SW #704",DC,Washington,20024,FALSE
106 2nd Ave,WY,Evanston,82930-2555,FALSE
12 N Sumner St,OR,Portland,97217,FALSE
206 Apache St,AL,Winfield,35594-5401,FALSE
