,inputs.city,inputs.country,inputs.post_code,inputs.post_code_plus4,inputs.postcode,inputs.safety_flag,inputs.state,inputs.street,attom_expanded_profile_report.row_id,attom_expanded_profile_report.client_id,attom_expanded_profile_report.attom_id,attom_expanded_profile_report.error
58,New Britain,US,6051,2415,06051-2415,False,CT,13 Market St,58,,7432727,
59,Princeton,US,71067,8312,71067-8312,False,LA,521 Princeton Rd,59,,215470258,
60,Laurel,US,39440,2185,39440-2185,False,MS,19 Kimberley Dr,60,,54084898,
61,Laramie,US,82072,1846,82072-1846,False,WY,1210 Downey St,61,,,
62,Mason,US,48854,,48854,False,MI,"1006 Carom Cir, Mason MI 48854-9378",62,,172602704,
63,Grand Island,US,14072,1412,14072-1412,False,NY,1016 Ransom Rd,63,,168217566,
64,West Palm Beach,US,33407,6723,33407-6723,False,FL,2438 24th Way,64,,2602564,
65,Chicago,US,60620,1137,60620-1137,False,IL,108 W 80th St,65,,,
66,Salisbury,US,28146,6861,28146-6861,False,NC,318 W Peeler St,66,,31390528,
67,Apex,US,27502,3877,27502-3877,False,NC,303 Rushing Wind Way,67,,177119800,
68,Bowling green,US,42104,,42104,False,KY,3518 cave springs avenue,68,,53806262,
69,Muncie,US,47304,,47304,False,IN,4804 W Riverbend Dr,69,,212837259,
70,Jacksonville,US,32219,3005,32219-3005,False,FL,6590 Hughes St,70,,28043149,
71,Murray,US,84121,,84121,False,UT,1599 E Monaco Circle,71,,35994862,
72,Lake Worth,US,33463,,33463,False,FL,4943 Carver Street,72,,,
73,Houston,US,77054,2232,77054-2232,False,TX,2950 Old Spanish Trl,73,,,
74,spring hill,US,34608,,34608,False,FL,8352 diver lane,74,,10674902,
75,Holden,US,70744,,70744,False,LA,35990 Louisiana 441,75,,210610291,
76,West Babylon,US,11704,2302,11704-2302,False,NY,648 Commander Ave,76,,46785749,
77,Baltimore,US,21207,4755,21207-4755,False,MD,1117 McAdoo Ave,77,,147247159,
78,Oak Ridge,US,37830,4600,37830-4600,False,TN,119 Sanford Ln,78,,47234098,
79,Portland,US,97217,3262,97217-3262,False,OR,1450 N Prescott St,79,,,
80,Conway,US,72034,,72034,False,AR,1701 Dave Ward Drive,80,,240408839,
81,Valencia,US,91355,3236,91355-3236,False,CA,25239 Via Tanara,81,,8512471,
82,Alabaster,US,35007,3838,35007-3838,False,AL,137 Cohill Dr,82,,193027731,
83,Frisco,US,75035,6415,75035-6415,False,TX,11147 Corsicana Dr,83,,36440466,
84,Redondo Beach,US,90278,1413,90278-1413,False,CA,2108 Dufour Ave,84,,144540451,
85,San Antonio,US,78222,1329,78222-1329,False,TX,2431 Ravina St,85,,166643581,
86,Shalimar,US,32579,,32579,False,FL,23 James Dr,86,,152420721,
87,Diberville,US,39540,5505,39540-5505,False,MS,3791 River Trace Dr,87,,251183271,
88,Lakeland,US,33810,,33810,False,FL,2071 Scenic View Bend,88,,144755251,
89,Summerville,US,29483,,29483,False,SC,103 County Road S-18-242,89,,,
90,Lawrenceville,US,30046,4053,30046-4053,False,GA,1729 Coleville Oak Ln,90,,27499387,
91,Warren,US,48088,6836,48088-6836,False,MI,30442 Newport Dr,91,,22940348,
92,Duncan,US,85534,8347,85534-8347,False,AZ,89 Iris Ln,92,,158640827,
93,Memphis,US,38127,7337,38127-7337,False,TN,1968 Driftwood Ave,93,,202902786,
94,San Jose,US,95124,,95124,False,CA,1927 Laurinda Drive,94,,155617344,
95,Greensboro,US,27406,1349,27406-1349,False,NC,1228 S Eugene St,95,,,
96,Rolling Fork,US,39159,,39159,False,MS,239 Fleetwood Road,96,,,
97,Lockhart,US,78644,2578,78644-2578,False,TX,500 Saint Thomas St,97,,165328721,
98,Washington,US,20018,3229,20018-3229,False,DC,1923 Shepherd St NE,98,,54422222,
99,Georgetown,US,78633,,78633,False,TX,126 Penny LN,99,,35482745,
100,Poplar Bluff,US,63901,,63901,False,MO,405 N C Street St,100,,,
101,Cape Coral,US,33914,,33914,False,FL,2903 SW 2nd Pl,101,,21247971,
102,Hopkins,US,29061,8375,29061-8375,False,SC,459 Hunters Crossing Dr,102,,33959377,
103,Jacksonville,US,32218,,32218,False,FL,10829 NATALIE DRIVE,103,,18153390,
104,Chicago,US,60628,6102,60628-6102,False,IL,26 E 118th St,104,,1380521,
105,Atlanta,US,30345,8010,30345-8010,False,GA,4208 Hillington Dr NE,105,,,
106,Austin,US,78746,2407,78746-2407,True,TX,2400 Camino Alto,106,,166014371,
107,Brooklyn,US,11207,6739,11207-6739,False,NY,99 Louisiana Ave,107,,14108061,
108,Maiden,US,28650,,28650,False,NC,1481 Ivey Church Road,108,,38443038,
109,Sauk village,US,60411,,60411,False,IL,22437 theisen ave,109,,175435163,
110,Feeding Hills,US,1030,1124,01030-1124,False,MA,50 Provin Mountain Dr,110,,244636819,
111,Jacksboro,US,37757,2011,37757-2011,False,TN,367 Eagle Bluff Rd,111,,47203818,
112,Alamogordo,US,88310,3900,88310-3900,False,NM,1528 Serrano,112,,208873796,
113,Pahrump,US,89061,0108,89061-0108,False,NV,3672 E Marathon Dr,113,,184066725,
114,Santa Clara,US,88026,,88026,False,NM,12006 Hwy 180 East,114,,,
115,Buffalo,US,14201,1907,14201-1907,False,NY,185 Whitney Pl,115,,168059544,
116,Elmhurst,US,60126,,60126,False,IL,15w732 Lexington Street,116,,175484166,
117,Beaver Springs,US,17812,9203,17812-9203,False,PA,13910 Route 235,117,,,
118,Robbinsville,US,8691,,8691,True,NJ,5 Hibiscus Lane,118,,193347868,
119,Sandy Ridge,US,27046,7104,27046-7104,False,NC,1433 Phillips Rd,119,,219465040,
120,Brooklyn,US,11201,1026,11201-1026,False,NY,102 Front St,120,,,
121,Sterling,US,20166,6878,20166-6878,False,VA,21250 Windmill Parc Dr,121,,,
122,Staten Island,US,27282,7737,27282-7737,False,NY,268 Westervelt Avenue,122,,168850755,
123,Newman Grove,US,68758,5031,68758-5031,False,NE,104 S 10th St,123,,,
124,Chicago,US,60611,6955,60611-6955,False,IL,333 E Ontario St,124,,204285519,
125,Katy,US,77494,2177,77494-2177,False,TX,1611 Grand Meadows Ct,125,,11598495,
126,Vestavia Hills,US,35216,5358,35216-5358,False,AL,3416 Woodcrest Dr,126,,46026691,
127,Turtle Creek,US,15145,2000,15145-2000,False,PA,602 Penn Ave,127,,,
128,Rockwall,US,75032,7463,75032-7463,False,TX,2850 Avery,128,,164768437,
129,South Dartmouth,US,2748,3040,02748-3040,False,MA,13 Edgeworth St,129,,9637027,
130,Hazel Crest,US,60429,1770,60429-1770,False,IL,17341 California Ave,130,,204352042,
131,Bend,US,97703,8985,97703-8985,False,OR,64863 Glacier View Dr,131,,28868100,
132,Norman,US,73071,2528,73071-2528,False,OK,1226 E Louisiana St,132,,32985854,
133,Beaumont,US,77705,,77705,False,TX,5230 South Martin Luther King Junior Parkway,133,,,
134,Radford,US,24141,,24141,False,VA,1207 Lawrence Street,134,,,
135,Gallatin,US,37066,5829,37066-5829,False,TN,1113 Lake Rise Pl,135,,7074624,
136,Newburgh,US,47630,,47630,False,IN,5788 Morningside Drive,136,,212554236,
137,Lexington,US,29073,9296,29073-9296,False,SC,149 Bill Williamson Ct,137,,3152544,
138,Thomson,US,30824,,30824,False,GA,709 Hayes Line Lane,138,,171689442,
139,Goldthwaite,US,76844,,76844,False,TX,50 C.R. 410,139,,,
140,Hudson,US,54016,,54016,False,WI,629 Countryside Lane,140,,145893492,
141,Saint Louis,US,63126,2139,63126-2139,False,MO,9404 Mary Glen Dr,141,,,
142,Austin,US,78758,,78758,False,TX,10603 Parkfield Drive,142,,165244024,
143,Beech Island,US,29842,8538,29842-8538,False,SC,2750 Storm Branch Rd,143,,,
144,Plant City,US,33565,,33565,False,FL,4501 Horseshoe Lake Way,144,,25876079,
145,Seven Fields,US,16046,4320,16046-4320,False,PA,212 Sycamore Dr,145,,37644193,
146,Chicago,US,60647,,60647,False,IL,2411 N St. Louis Ave,146,,45001560,
147,District Heights,US,20747,2778,20747-2778,False,MD,5106 Burnwell Ct,147,,7135201,
148,Royal Oak,US,48073,,48073,False,MI,3027 W 13 Mile Rd Apt 140,148,,,
149,Indianapolis,US,46235,9348,46235-9348,False,IN,11038 Essen Ct,149,,20176156,
150,Hermitage,US,16148,,16148,False,PA,2425 South Keel Ridge Road,150,,,
151,Weymouth,US,2188,2305,02188-2305,False,MA,26 Foye Ave,151,,20916634,
152,New Madrid,US,63869,,63869,False,MO,12391 US Hwy 61,152,,,
153,Ozark,US,65721,,65721,False,MO,1202 West Canton Court,153,,208251625,
154,Wilmington,US,28412,,28412,False,NC,1007 Avenshire Cir,154,,37489244,
155,Hillsboro,US,97124,9410,97124-9410,False,OR,7226 NE Shaleen St,155,,37244176,
156,Vero Beach,US,32967,3404,32967-3404,False,FL,8215 W 98th Ave,156,,20252136,
157,Aurora,US,44202,7747,44202-7747,False,OH,1269 Nicola Dr,157,,17868151,
158,Hopewell Junction,US,12533,6372,12533-6372,False,NY,119 Wilmont Ct,158,,150456101,
159,Philadelphia,US,19141,3714,19141-3714,False,PA,5932 N Hutchinson St,159,,13278669,
160,Damascus,US,20872,,20872,False,MD,25830 Bowman Acres Lane,160,,201726364,
161,Rochester,US,15074,2412,15074-2412,False,PA,5 White St,161,,,
162,Dearborn,US,48124,,48124,False,MI,2924 Bennett Street,162,,11983316,
163,Pacifica,US,94044,4224,94044-4224,False,CA,1247 Rosita Rd,163,,43230239,
164,Ocean Springs,US,39565,,39565,False,MS,13600 Virginia St,164,,187220788,
165,Turlock,US,95382,,95382,False,CA,4234 Marston Ct,165,,29646030,
166,Livonia,US,70755,3309,70755-3309,False,LA,3693 Fordoche Rd,166,,,
167,Columbus,US,43229,1210,43229-1210,True,OH,6811 Sharon Ct,167,,,
168,Peru,US,46970,9367,46970-9367,False,IN,450 S County Road 950 E,168,,211486982,
169,Angier,US,27501,,27501,False,NC,203 Edmund Drive,169,,177582841,
170,Chicago,US,60601,7536,60601-7536,False,IL,195 N Harbor Dr,170,,174839486,
171,Aurora,US,80010,,80010,False,CO,1184 Dallas Street,171,,10152170,
172,Dubuque,US,52001,,52001,False,IA,3138 Arbor Oaks Dr,172,,200618495,
173,Austin,US,78747,,78747,False,TX,7404 Derby Downs Dr.,173,,53999483,
174,WICHITA,US,67217,3777,67217-3777,False,KS,5111 S MERIDIAN AVE,174,,,
175,Parma,US,44134,,44134,False,OH,3214 Commonwealth dr.,175,,1060826,
176,Carver,US,2330,1358,02330-1358,False,MA,7 Eastman St,176,,197444993,
177,Bronx,US,10458,,10458,False,NY,2310 Valentine Avenue,177,,32674863,
178,Travelers Rest,US,29690,,29690,False,SC,352 Bates View Drive,178,,36477998,
179,Los Angeles,US,90019,,90019,False,CA,4532 W 17th St,179,,1805129,
180,Albany,US,94706,,94706,False,CA,863 Washington Avenue,180,,141387207,
181,Calumet City,US,60409,5722,60409-5722,False,IL,1233 Superior Ave,181,,174909311,
182,Marietta,US,30062,5457,30062-5457,False,GA,3435 Devoe Ct,182,,145293031,
183,Livonia,US,48152,,48152,False,MI,19759 Inkster Road,183,,18150351,
184,Borger,US,79007,,79007,False,TX,1420 cooley st,184,,212093237,
185,Los altos,US,94024,,94024,False,CA,11674 winding way,185,,155928917,
186,Sumiton,US,35148,3925,35148-3925,False,AL,20 George Hambright Rd,186,,232507160,
187,Knoxville,US,37919,6995,37919-6995,False,TN,809 Teaberry Ln,187,,,
188,Citrus Heights,US,95621,7341,95621-7341,False,CA,5727 Saint Claire Way,188,,40340984,
189,Fredericksburg,US,22408,,22408,False,VA,3827 Guinea Station Road,189,,44852033,
190,Pell City,US,35128,6190,35128-6190,False,AL,171 Horne Dr,190,,199660707,
191,Alexandria,US,71302,2718,71302-2718,False,LA,4320 Collins Ave,191,,213589531,
192,Houston,US,77098,,77098,False,TX,2800 Kirby Drive,192,,165786733,
193,Houston,US,77070,1223,77070-1223,False,TX,11826 Hillbrook Dr,193,,28970436,
194,Centreville,US,21617,,21617,False,MD,1250 Grange Hall Road,194,,202554247,
195,Philadelphia,US,19146,,19146,False,PA,1815 Gerritt St,195,,22167191,
196,Portland,US,97214,,97214,False,OR,2943 SE Washington St,196,,,
197,Wichita,US,67212,5717,67212-5717,False,KS,1524 N Shefford St,197,,217749145,
198,Jackson,US,49203,,49203,False,MI,2007 cortland blvd,198,,7280937,
199,San Antonio,US,78247,3221,78247-3221,False,TX,3014 Fall Crest Dr,199,,11379042,
200,Montgomery,US,36107,,36107,False,AL,2420 Willena Ave,200,,183588796,
201,West Liberty,US,43357,9731,43357-9731,False,OH,4953 State Route 287,201,,,
202,Bellingham,US,2019,,2019,False,MA,6 4th Avenue,202,,10006025,
203,Millis,US,2054,1737,02054-1737,False,MA,352B Village St,203,,194765606,
204,Brunswick,US,31525,,31525,False,GA,111 Armstrong Avenue,204,,8029362,
205,Geismar,US,70734,3151,70734-3151,False,LA,36319 Highway 74,205,,196663216,
206,Spencerport,US,14559,,14559,False,NY,4416 Canal Rd,206,,170787947,
207,Franklinville,US,8322,,8322,False,NJ,1050 porchtown rd,207,,19072597,
208,Kemp,US,75143,4578,75143-4578,True,TX,13368 E Highway 175,208,,,
209,Austin,US,78704,6508,78704-6508,False,TX,1401 Saint Edwards Dr,209,,165416296,
210,ST. GEORGE,US,84790,,84790,False,UT,104 SOUTH ACANTILADO DRIVE,210,,183763462,
211,Uniontown,US,15401,8002,15401-8002,False,PA,110 Daniel Dr Suite 9,211,,179257949,
212,Avon,US,46123,,46123,False,IN,8596 Captain Drive,212,,201777270,
213,Somerville,US,8876,,8876,False,NJ,216 North Bridge Street,213,,196575349,
214,Echo Farms,US,28412,,28412,False,NC,308 Lennox Place,214,,23646553,
215,San Antonio,US,78260,4342,78260-4342,False,TX,24214 Viento Leaf,215,,252000194,
216,Markham,US,60428,,60428,False,IL,2964 Nottingham,216,,26559343,
217,Columbia,US,29209,,29209,False,SC,100 downing rd,217,,146937058,
218,Madison,US,53718,,53718,False,WI,6809 Milwaukee Street,218,,13847260,
219,Dothan,US,36305,1165,36305-1165,False,AL,1 Williamsburg Pl,219,,16543439,
220,Hobart,US,46342,5736,46342-5736,False,IN,1626 Vine Ct,220,,151916779,
221,Rapid City,US,57701,,57701,False,SD,810 East Oakland,221,,,
222,Fayetteville,US,72704,7516,72704-7516,False,AR,4421 W Wedge Dr,222,,230709676,
223,O Fallon,US,62269,7290,62269-7290,False,IL,1317 Stone Hill Dr,223,,175254464,
224,Montgomery,US,36108,5223,36108-5223,False,AL,519 Upton Rd,224,,183343894,
225,Meadows Place,US,77477,1538,77477-1538,False,TX,11803 Meadowtrail Ln,225,,165494415,
226,SALINAS,US,93905,,93905,False,CA,150 Kern Street,226,,52801604,
227,New Orleans,US,70124,3148,70124-3148,False,LA,6367 Memphis St,227,,187812225,
228,Herrin,US,62948,,62948,False,IL,16652 Freeman Spur Road,228,,,
229,Anchorage,US,99508,1582,99508-1582,False,AK,825 N Park St Apt 1,229,,30380883,
230,Brooklyn,US,11207,6750,11207-6750,False,NY,52 Malta St,230,,169022362,
231,Newport Beach,US,92663,,92663,False,CA,403 40th Street,231,,25945587,
232,Accokeek,US,20607,3779,20607-3779,False,MD,14026 Vintage Ln,232,,187087419,
233,Brodhead,US,53520,,53520,False,WI,N2320 Tenny Road,233,,195063491,
234,Cincinnati,US,45231,2231,45231-2231,False,OH,2347 Roxanna Dr,234,,957577,
235,Eagle River,US,54521,8804,54521-8804,False,WI,3659 Chain O Lakes Rd,235,,,
236,Clarksville,US,37042,8239,37042-8239,False,TN,2985 Brewster Dr,236,,152525889,
237,Columbus,US,43220,2620,43220-2620,False,OH,5071 Cambrian Dr,237,,,
238,Minneapolis,US,55411,,55411,False,MN,610 31st Avenue North,238,,251564126,
239,SACRAMENTO,US,95832,,95832,False,CA,7708 Mary Lou Way,239,,21831227,
240,Milwaukee,US,53214,3024,53214-3024,False,WI,1311 S 75th St,240,,47922225,
241,Saint Paul,US,55119,5806,55119-5806,False,MN,2688 Linwood Ave E,241,,141514273,
242,Alexandria,US,22310,,22310,False,VA,6215 Houston CT,242,,41610948,
243,Austin,US,78737,,78737,False,TX,10101 Wildwood Hills Lane,243,,165805516,
244,Abita Springs,US,70420,2653,70420-2653,False,LA,73566 Niblick St,244,,251059951,
245,Aromas,US,95004,,95004,False,CA,243 B Aromas Rd.,245,,156717057,
246,GLENDALE,US,11385,,11385,False,NY,6638 CENTRAL AVE,246,,169768276,
247,Parker,US,80138,,80138,False,CO,10905 Omaha Lane,247,,7691217,
248,San Jose,US,95111,3504,95111-3504,False,CA,291 El Cajon Dr,248,,149700027,
249,El Paso,US,79936,2748,79936-2748,False,TX,3849 Rocio St,249,,41710854,
250,El Paso,US,79905,1906,79905-1906,False,TX,6029 Cleveland Ave,250,,165468057,
251,College Point,US,11356,,11356,False,NY,350 Soundview Lane,251,,52758341,
252,Mission Viejo,US,92691,,92691,False,CA,25712 Taladro Cir. Siute A,252,,157793154,
253,Fremont,US,94539,,94539,False,CA,1102 Valdez Place,253,,45929733,
254,Maplewood,US,55117,,55117,False,MN,2086 Edgerton St,254,,201491856,
255,Greybull,US,82426,,82426,False,WY,2636 us hwy 20 west,255,,,
256,Saint Louis,US,63109,,63109,False,MO,5841chippewa,256,,,
257,Columbus,US,31909,3429,31909-3429,False,GA,5025 Sequoia Dr,257,,219861413,
258,Knoxville,US,37921,5204,37921-5204,False,TN,4201 Abercorn Rd,258,,28474960,
259,Bellwood,US,60104,1301,60104-1301,False,IL,348 Englewood Ave,259,,175124548,
260,Campbellsville,US,42718,7979,42718-7979,False,KY,104 Nine Iron Ct,260,,,
261,Portsmouth,US,23701,1305,23701-1305,False,VA,215 Deal Dr,261,,189076821,
262,New York,US,10025,,10025,False,NY,204 West 108th Street,262,,169587878,
263,Gallup,US,87301,7066,87301-7066,False,NM,199 Western Skies Rd,263,,,
264,Canton,US,2021,,2021,False,MA,21 Pond View Rd,264,,190674837,
265,Lewisville,US,75067,,75067,False,TX,420 Wind Wood Drive,265,,2051433,
266,Modesto,US,95350,,95350,False,CA,1125 Citrus Ct,266,,23077924,
267,Amery,US,54001,,54001,False,WI,1130 30th Avenue,267,,,
268,Coshocton,US,43812,,43812,False,OH,25262 Ohio 621,268,,,
269,Wolcottville,US,46795,,46795,False,IN,1355 East 790 South,269,,210396548,
270,Walnut Creek,US,94598,,94598,True,CA,30 malicoat ave,270,,156517336,
271,Spring Hill,US,37174,6285,37174-6285,False,TN,1025 Via Francesco Way,271,,311745807,
272,Saint Petersburg,US,33702,2223,33702-2223,False,FL,521 101st Ave N,272,,100176926,
273,Fall River,US,2720,,2720,False,MA,399 Prospect St,273,,,
274,Toledo,US,43614,3833,43614-3833,False,OH,3204 Heatherdowns Blvd,274,,182457100,
275,COMMERCE TOWNSHIP,US,48382,,48382,False,MI,1842 Trowbridge Lane,275,,172832693,
276,Chicago,US,60633,1311,60633-1311,False,IL,13115 S Avenue O,276,,7585412,
277,McCordsville,US,46055,9503,46055-9503,False,IN,4844 N 700 W,277,,247412071,
278,Pittsburgh,US,15228,2566,15228-2566,False,PA,820 Fruithurst Dr,278,,37335740,
279,Lock Haven,US,17745,9286,17745-9286,False,PA,384 Little Plum Run Rd,279,,,
280,Keaau,US,96749,,96749,False,HI,15-1506 3rd Ave,280,,198746968,
281,Clover,US,29710,,29710,False,SC,718 Langley Ct,281,,41150075,
282,Steger,US,60475,,60475,False,IL,439 east sauk trail,282,,175444713,
283,NORTH LAS VEGAS,US,89157,,89157,False,NV,3905 THOMAS PATRICK,283,,184105769,
284,Colorado Springs,US,80918,,80918,False,CO,4875 Montebello Dr,284,,9361429,
285,Findlay,US,45840,8893,45840-8893,False,OH,7759 E Point Dr,285,,209597434,
286,Los Angeles,US,90061,2512,90061-2512,False,CA,214 E 109th St,286,,17966408,
287,Round Rock,US,78681,,78681,False,TX,8352 Fern Bluff Avenue,287,,152204059,
288,Nashville,US,37207,3015,37207-3015,False,TN,3026 Hillside Rd,288,,8740261,
289,Gloucester,US,1930,,1930,False,MA,8 Perkins street,289,,197836856,
290,Houston,US,77067,1912,77067-1912,False,TX,2506 Quiet Meadows Dr,290,,165814184,
291,Wagener,US,29164,9548,29164-9548,False,SC,306 Blackbird Rd,291,,322172249,
292,Signal Hill,US,90755,,90755,False,CA,1795 e28th st,292,,,
293,Kirkland,US,98034,,98034,False,WA,12808 124th Lane Northeast,293,,,
294,Albany,US,12205,3125,12205-3125,False,NY,7 Laing St,294,,168401394,
295,Centennial,US,80121,,80121,False,CO,6586 S. Marion Place,295,,,
296,San Jose,US,95121,2754,95121-2754,False,CA,2711 McLaughlin Ave,296,,49365133,
297,Orlando,US,32821,5305,32821-5305,False,FL,15050 Ember Springs Cir,297,,,
298,Royal Palm Beach,US,33411,4227,33411-4227,False,FL,11463 Garden Cress Trl,298,,14863285,
299,Sahuarita,US,85629,,85629,False,AZ,1443 east walker Springs pl,299,,155215911,
300,Burlington,US,52601,4658,52601-4658,False,IA,1119 Osborn St,300,,200900786,
301,Goodland,US,67735,,67735,False,KS,301 Main Avenue,301,,,
302,Woodside,US,11377,6409,11377-6409,False,NY,4706 45th St,302,,,
303,Plymouth,US,48170,4055,48170-4055,False,MI,9415 Oakview St,303,,172308106,
304,Philadelphia,US,19129,,19129,False,PA,4253 RIDGE AVE,304,,46985182,
305,Baldwin Park,US,91706,,91706,False,CA,15240 Nubia Street,305,,51948448,
306,Forest Hill,US,21050,,21050,False,MD,628 Chestnut Hill Road,306,,31570733,
307,Miami,US,33156,5125,33156-5125,False,FL,8699 SW 122nd St,307,,21822535,
308,Lawton,US,73505,,73505,False,OK,710 NW 34th ST,308,,47243089,
309,Dunnellon,US,34432,8771,34432-8771,False,FL,13764 SW 112th Cir,309,,159487986,
310,Garden Grove,US,92840,,92840,False,CA,12402 Haster st H11,310,,,
311,Bay Point,US,94565,3258,94565-3258,False,CA,247 Bailey Rd,311,,158170460,
312,Tubac,US,85646,,85646,False,AZ,91 Avenida Goya,312,,228199927,
313,Austin,US,78717,4832,78717-4832,False,TX,8704 Pepper Rock Dr,313,,166048464,
314,Union City,US,7087,4426,07087-4426,False,NJ,416 18th St,314,,42490618,
315,Jupiter,US,33458,1097,33458-1097,False,FL,109 Majorca Way Apt 303,315,,,
316,Costa Mesa,US,92627,,92627,False,CA,307 East 18th Street,316,,51691791,
317,Clarksville,US,37043,7990,37043-7990,True,TN,1654 Stone Trail Dr,317,,202778810,
318,Bradenton,US,34203,,34203,False,FL,5610 33rd st east,318,,163302839,
319,Sebring,US,33872,,33872,False,FL,4704 Mercado Dr,319,,209557091,
320,Chicago,US,60631,2901,60631-2901,False,IL,5632 N Fairview Ave,320,,176204454,
